Employee ID,Employee Name,Date,In-Time,Out-Time
EMP001,John Doe,2024-01-01,,
EMP001,John Doe,2024-01-02,10:08,18:30
EMP001,John Doe,2024-01-03,10:13,18:48
EMP001,John Doe,2024-01-04,,
EMP001,John Doe,2024-01-05,09:40,18:24
EMP001,John Doe,2024-01-06,10:07,13:45
EMP001,John Doe,2024-01-08,10:03,18:31
EMP001,John Doe,2024-01-09,10:11,18:24
EMP001,John Doe,2024-01-10,10:06,18:28
EMP001,John Doe,2024-01-11,11:08,18:37
EMP001,John Doe,2024-01-12,11:44,18:18
EMP001,John Doe,2024-01-13,09:46,14:09
EMP001,John Doe,2024-01-15,10:01,18:27
EMP001,John Doe,2024-01-16,10:14,17:47
EMP001,John Doe,2024-01-17,10:01,18:20
EMP001,John Doe,2024-01-18,10:18,18:20
EMP001,John Doe,2024-01-19,09:44,18:30
EMP001,John Doe,2024-01-20,09:55,13:57
EMP001,John Doe,2024-01-22,09:44,18:19
EMP001,John Doe,2024-01-23,11:13,18:19
EMP001,John Doe,2024-01-24,10:03,17:41
EMP001,John Doe,2024-01-25,09:53,18:45
EMP001,John Doe,2024-01-26,10:17,18:27
EMP001,John Doe,2024-01-27,09:58,12:47
EMP001,John Doe,2024-01-29,09:54,17:16
EMP001,John Doe,2024-01-30,10:02,18:36
EMP001,John Doe,2024-01-31,10:12,18:47
EMP002,Sarah Smith,2024-01-01,09:59,18:21
EMP002,Sarah Smith,2024-01-02,10:00,18:20
EMP002,Sarah Smith,2024-01-03,09:54,18:34
EMP002,Sarah Smith,2024-01-04,09:59,18:41
EMP002,Sarah Smith,2024-01-05,10:20,18:48
EMP002,Sarah Smith,2024-01-06,09:50,13:22
EMP002,Sarah Smith,2024-01-08,09:49,18:36
EMP002,Sarah Smith,2024-01-09,10:13,18:26
EMP002,Sarah Smith,2024-01-10,09:45,18:43
EMP002,Sarah Smith,2024-01-11,,
EMP002,Sarah Smith,2024-01-12,11:18,18:27
EMP002,Sarah Smith,2024-01-13,,
EMP002,Sarah Smith,2024-01-15,09:44,18:33
EMP002,Sarah Smith,2024-01-16,09:46,18:41
EMP002,Sarah Smith,2024-01-17,09:51,18:17
EMP002,Sarah Smith,2024-01-18,10:09,18:30
EMP002,Sarah Smith,2024-01-19,10:19,18:41
EMP002,Sarah Smith,2024-01-20,10:00,14:03
EMP002,Sarah Smith,2024-01-22,09:40,18:32
EMP002,Sarah Smith,2024-01-23,09:58,18:44
EMP002,Sarah Smith,2024-01-24,10:42,18:11
EMP002,Sarah Smith,2024-01-25,10:15,18:27
EMP002,Sarah Smith,2024-01-26,10:06,18:45
EMP002,Sarah Smith,2024-01-27,09:47,13:58
EMP002,Sarah Smith,2024-01-29,10:20,18:18
EMP002,Sarah Smith,2024-01-30,11:03,18:39
EMP002,Sarah Smith,2024-01-31,09:58,18:26
EMP003,Michael Johnson,2024-01-01,09:40,18:31
EMP003,Michael Johnson,2024-01-02,09:51,18:22
EMP003,Michael Johnson,2024-01-03,11:11,18:19
EMP003,Michael Johnson,2024-01-04,09:57,17:18
EMP003,Michael Johnson,2024-01-05,10:14,18:26
EMP003,Michael Johnson,2024-01-06,10:02,13:57
EMP003,Michael Johnson,2024-01-08,09:45,18:30
EMP003,Michael Johnson,2024-01-09,09:58,18:26
EMP003,Michael Johnson,2024-01-10,,
EMP003,Michael Johnson,2024-01-11,10:13,18:29
EMP003,Michael Johnson,2024-01-12,09:58,18:50
EMP003,Michael Johnson,2024-01-13,09:57,14:01
EMP003,Michael Johnson,2024-01-15,09:48,18:25
EMP003,Michael Johnson,2024-01-16,09:45,18:35
EMP003,Michael Johnson,2024-01-17,09:56,18:39
